date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:37	75368/75368	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202015%2021:10:55%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/index.html	(from )
17:05:37	4806/4806	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202013%2002:24:42%20GMT	http://192.185.228.226/robots.txt		(from )
17:05:38	11628/11628	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jun%202015%2020:36:13%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/vendors/bower_components/fullcalendar/dist/fullcalendar.min.css	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/vendors/bower_components/fullcalendar/dist/fullcalendar.min.css	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
17:05:38	55789/55789	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jun%202015%2020:36:13%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/vendors/bower_components/animate.css/animate.min.css	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/vendors/bower_components/animate.css/animate.min.css	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
17:05:38	13175/13175	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jun%202015%2020:36:13%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/vendors/bower_components/sweetalert/dist/sweetalert-override.min.css	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/vendors/bower_components/sweetalert/dist/sweetalert-override.min.css	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
17:05:39	32645/32645	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jun%202015%2020:36:13%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/vendors/bower_components/material-design-iconic-font/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/vendors/bower_components/material-design-iconic-font/css/material-design-iconic-font.min.css	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
17:05:39	3346/3346	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jun%202015%2020:36:12%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/vendors/socicon/socicon.min.css	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/vendors/socicon/socicon.min.css	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
17:05:42	29905/29905	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jun%202015%2021:03:13%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/css/app.min.2.css	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/css/app.min.2.css	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
17:05:42	348571/348571	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jun%202015%2021:03:26%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/css/app.min.1.css	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/css/app.min.1.css	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
17:05:43	18245/18245	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202015%2020:36:13%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/img/profile-pics/1.jpg	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/img/profile-pics/1.jpg	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
17:05:44	57069/57069	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202015%2021:11:07%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/profile-about.html	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/profile-about.html	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
17:05:45	20888/20888	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202015%2020:36:13%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/img/profile-pics/2.jpg	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/img/profile-pics/2.jpg	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
17:05:45	19255/19255	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202015%2020:36:13%20GMT	http://192.185.228.226/projects/ma/v1-4-1/jQuery/img/profile-pics/3.jpg	C:/My%20Web%20Sites/MaterialAdmin/192.185.228.226/projects/ma/v1-4-1/jQuery/img/profile-pics/3.jpg	(from http://192.185.228.226/projects/ma/v1-4-1/jQuery/index.html)
